slot	gl_symbol	stub_symbol
283	glGetTexParameteriv	GetTexParameteriv
158	glHint	Hint
1630	glHistogram	Histogram
212	glIndexMask	IndexMask
314	glIndexPointer	IndexPointer
44	glIndexd	Indexd
45	glIndexdv	Indexdv
46	glIndexf	Indexf
47	glIndexfv	Indexfv
48	glIndexi	Indexi
49	glIndexiv	Indexiv
50	glIndexs	Indexs
51	glIndexsv	Indexsv
315	glIndexub	Indexub
316	glIndexubv	Indexubv
197	glInitNames	InitNames
317	glInterleavedArrays	InterleavedArrays
286	glIsEnabled	IsEnabled
287	glIsList	IsList
330	glIsTexture	IsTexture
163	glLightModelf	LightModelf
164	glLightModelfv	LightModelfv
165	glLightModeli	LightModeli
166	glLightModeliv	LightModeliv
159	glLightf	Lightf
160	glLightfv	Lightfv
161	glLighti	Lighti
162	glLightiv	Lightiv
167	glLineStipple	LineStipple
168	glLineWidth	LineWidth
6	glListBase	ListBase
290	glLoadIdentity	LoadIdentity
292	glLoadMatrixd	LoadMatrixd
291	glLoadMatrixf	LoadMatrixf
198	glLoadName	LoadName
383	glLoadTransposeMatrixd	LoadTransposeMatrixd
384	glLoadTransposeMatrixf	LoadTransposeMatrixf
242	glLogicOp	LogicOp
220	glMap1d	Map1d
221	glMap1f	Map1f
222	glMap2d	Map2d
223	glMap2f	Map2f
224	glMapGrid1d	MapGrid1d
225	glMapGrid1f	MapGrid1f
226	glMapGrid2d	MapGrid2d
227	glMapGrid2f	MapGrid2f
169	glMaterialf	Materialf
170	glMaterialfv	Materialfv
171	glMateriali	Materiali
172	glMaterialiv	Materialiv
293	glMatrixMode	MatrixMode
1631	glMinmax	Minmax
295	glMultMatrixd	MultMatrixd
294	glMultMatrixf	MultMatrixf
385	glMultTransposeMatrixd	MultTransposeMatrixd
386	glMultTransposeMatrixf	MultTransposeMatrixf
344	glMultiTexCoord1d	MultiTexCoord1d
344	glMultiTexCoord1dARB	MultiTexCoord1d
345	glMultiTexCoord1dv	MultiTexCoord1dv
345	glMultiTexCoord1dvARB	MultiTexCoord1dv
346	glMultiTexCoord1f	MultiTexCoord1fARB
346	glMultiTexCoord1fARB	MultiTexCoord1fARB
347	glMultiTexCoord1fv	MultiTexCoord1fvARB
347	glMultiTexCoord1fvARB	MultiTexCoord1fvARB
348	glMultiTexCoord1i	MultiTexCoord1i
348	glMultiTexCoord1iARB	MultiTexCoord1i
349	glMultiTexCoord1iv	MultiTexCoord1iv
349	glMultiTexCoord1ivARB	MultiTexCoord1iv
350	glMultiTexCoord1s	MultiTexCoord1s
