cardres00013;0;digulla;Write IfAmigaXIP
cardres00014;0;digulla;Write CardForceChange
cardres00015;0;digulla;Write CardChangeCount
cardres00016;0;digulla;Write CardInterface
cia00000;0;digulla;Write AddICRVector
cia00001;0;digulla;Write RemICRVector
cia00002;0;digulla;Write AbleICR
cia00003;0;digulla;Write SetICR
clib00007;1;falemagn;Write abort
clib00008;2;hkiel;Write abs
clib00009;2;hkiel;Write asctime
clib00010;2;hkiel;Write atof
clib00011;2;hkiel;Write atoi
clib00012;2;hkiel;Write atol
clib00013;2;hkiel;Write bcopy
clib00014;2;hkiel;Write bsearch
clib00015;2;hkiel;Write bzero
clib00016;2;stegerg;Write calloc
clib00017;2;falemagn;Write clearerr
clib00018;2;falemagn;Write clock
clib00019;2;falemagn;Write close
clib00020;2;falemagn;Write creat
clib00021;2;hkiel;Write ctime
clib00022;2;hkiel;Write ctype
clib00023;2;stegerg;Write difftime
clib00024;2;stegerg;Write drand48
clib00025;2;stegerg;Write erand48
clib00026;2;hkiel;Write errno
clib00027;1;falemagn;Write exit
clib00028;2;falemagn;Write fclose
clib00029;2;falemagn;Write feof
clib00030;2;hkiel;Write ferror
clib00031;2;falemagn;Write fflush
clib00032;2;falemagn;Write fgetc
clib00033;2;falemagn;Write fgets
clib00034;2;stegerg;Write fopen
clib00035;2;falemagn;Write fprintf
clib00036;2;falemagn;Write fputc
clib00037;2;falemagn;Write fputs
clib00038;2;falemagn;Write fread
clib00039;2;falemagn;Write free
clib00040;2;hkiel;Write fscanf
clib00041;2;falemagn;Write fseek
clib00042;2;falemagn;Write ftell
clib00043;2;falemagn;Write fwrite
clib00044;2;falemagn;Write getenv
clib00045;2;stegerg;Write gettimeofday
clib00046;2;stegerg;Write gmtime
clib00047;2;hkiel;Write isinf
clib00048;2;bergers;Write jrand48
clib00049;2;hkiel;Write labs
clib00050;2;stegerg;Write lcong48
clib00051;2;stegerg;Write localtime
clib00052;2;stegerg;Write lrand48
clib00053;2;falemagn;Write malloc
clib00054;2;hkiel;Write memchr
clib00055;2;hkiel;Write memcmp
clib00056;2;hkiel;Write memcpy
clib00057;2;stegerg;Write memmove
clib00058;2;nlorentz;Write memset
clib00059;1;stegerg;Write mktemp
clib00060;2;stegerg;Write mrand48
clib00061;2;bergers;Write nrand48
clib00062;2;falemagn;Write open
clib00063;2;hkiel;Write printf
clib00064;2;falemagn;Write puts
clib00065;2;hkiel;Write qsort
clib00066;2;stegerg;Write rand
clib00067;2;falemagn;Write read
clib00068;2;stegerg;Write realloc
clib00069;2;stegerg;Write remove
clib00070;2;falemagn;Write rewind
clib00071;2;hkiel;Write scanf
clib00072;2;stegerg;Write seed48
clib00073;2;hkiel;Write snprintf
clib00074;2;hkiel;Write sprintf
clib00075;2;stegerg;Write srand48
clib00076;2;SDuvan;Write sscanf
clib00077;2;stegerg;Write stch_l
clib00078;2;stegerg;Write stcu_d
clib00079;2;hkiel;Write strcasecmp
clib00080;2;hkiel;Write strcat
clib00081;2;hkiel;Write strchr
clib00082;2;hkiel;Write strcmp
clib00083;2;hkiel;Write strcpy
clib00084;2;hkiel;Write strcspn
clib00085;2;hkiel;Write strdup
clib00086;2;hkiel;Write strerror
clib00087;2;hkiel;Write strlen
clib00088;2;hkiel;Write strncasecmp
clib00089;2;nlorentz;Write strncat
clib00090;2;hkiel;Write strncmp
clib00091;2;hkiel;Write strncpy
clib00092;2;hkiel;Write strpbrk
clib00093;2;hkiel;Write strrchr
clib00094;2;stegerg;Write strrev
clib00095;2;hkiel;Write strspn
clib00096;2;hkiel;Write strstr
clib00097;2;hkiel;Write strtod
clib00098;2;hkiel;Write strtok
clib00099;2;SDuvan;Write strtol
clib00100;2;hkiel;Write strtoul
clib00101;2;stegerg;Write time
clib00102;2;falemagn;Write ungetc
clib00103;2;stegerg;Write unlink
clib00104;2;hkiel;Write vscanf
clib00105;2;hkiel;Write vfprintf
clib00106;2;hkiel;Write vfscanf
clib00107;2;hkiel;Write vprintf
